<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AFKS,1,20090111,103000,4.7890000,4.7900000,4.7890000,4.7900000,1000
AFKS,1,20090111,103100,4.5010000,4.5010000,4.5010000,4.5010000,500
AFKS,1,20090111,103300,4.5000000,4.5430000,4.5000000,4.5430000,400
AFKS,1,20090111,103400,4.5510000,4.5510000,4.5500000,4.5500000,1000
AFKS,1,20090111,103500,4.7490000,4.7490000,4.7490000,4.7490000,100
AFKS,1,20090111,104500,4.6400000,4.6400000,4.6400000,4.6400000,7000
AFKS,1,20090111,104600,4.6400000,4.6400000,4.6400000,4.6400000,100
AFKS,1,20090111,105000,4.5500000,4.5500000,4.5500000,4.5500000,500
AFKS,1,20090111,105200,4.6000000,4.6000000,4.6000000,4.6000000,1000
AFKS,1,20090111,105500,4.6000000,4.6000000,4.6000000,4.6000000,1000
AFKS,1,20090111,105900,4.5560000,4.5560000,4.5550000,4.5550000,1000
AFKS,1,20090111,110300,4.6000000,4.6000000,4.6000000,4.6000000,49000
AFKS,1,20090111,110400,4.6000000,4.6000000,4.6000000,4.6000000,1000
AFKS,1,20090111,110600,4.6000000,4.6000000,4.6000000,4.6000000,1500
AFKS,1,20090111,110700,4.5560000,4.5560000,4.5560000,4.5560000,200
AFKS,1,20090111,111200,4.6000000,4.6000000,4.6000000,4.6000000,600
AFKS,1,20090111,111300,4.6000000,4.6000000,4.6000000,4.6000000,1000
AFKS,1,20090111,111700,4.6190000,4.6190000,4.6190000,4.6190000,1000
AFKS,1,20090111,112100,4.6150000,4.6150000,4.6150000,4.6150000,3000
AFKS,1,20090111,112600,4.6100000,4.6100000,4.6100000,4.6100000,1000
AFKS,1,20090111,113400,4.5570000,4.5570000,4.5570000,4.5570000,1000
AFKS,1,20090111,114500,4.5500000,4.5500000,4.5500000,4.5500000,100
AFKS,1,20090111,115000,4.6000000,4.6000000,4.6000000,4.6000000,100
AFKS,1,20090111,121300,4.5990000,4.5990000,4.5990000,4.5990000,100
AFKS,1,20090111,121400,4.5510000,4.5980000,4.5500000,4.5980000,2400
AFKS,1,20090111,121500,4.5990000,4.5990000,4.5990000,4.5990000,200
AFKS,1,20090111,121700,4.5980000,4.5980000,4.5980000,4.5980000,300
AFKS,1,20090111,121900,4.5330000,4.5330000,4.5100000,4.5100000,24800
AFKS,1,20090111,122000,4.5100000,4.5100000,4.5100000,4.5100000,200
AFKS,1,20090111,122300,4.5960000,4.5960000,4.5960000,4.5960000,100
AFKS,1,20090111,122400,4.5960000,4.5960000,4.5960000,4.5960000,300
AFKS,1,20090111,122500,4.5250000,4.5250000,4.5250000,4.5250000,1000
